product,price,sale_price
 Anua Heartleaf 77% Soothing Toner 500ml,USD 42.00,USD 27.30
 Anua Heartleaf 77% Soothing Toner 250ml,USD 28.00,USD 18.20
 AMUSE Phytoncica™ LHA Reboot Toner 150ml,USD 20.00,USD 14.00
 [SET] numbuzin No.3 Toner + Serum Set,USD 61.00,USD 51.85
 [SET] numbuzin No.2 Toner + Serum Set,USD 61.00,USD 51.85
 [SET] numbuzin No.1 Toner + Serum Set,USD 61.00,USD 51.85
 THE PLANT BASE Pore N Turn-Over 28 AHA BHA Toner 150ml,USD 20.00,USD 14.00
 THE PLANT BASE Nature Solution Hydrating Bamboo Water 160ml,USD 20.00,USD 14.00
 COSRX One Step Original Clear Pad 70ea,USD 24.00,USD 16.80
 Dr.G Red Blemish Clear Soothing Toner 300ml,USD 29.00,USD 24.65
 ETUDE HOUSE SoonJung Toner&Cica Balm Vegan Set,USD 42.00,USD 29.40
 Dr.G Red Blemish Clear Quick Soothing Pad 70ea,USD 25.00,USD 21.25
 THE PLANT BASE AC Clear Pure N Skin 180ml,USD 18.00,USD 12.60
 innisfree Black Tea Youth Enhancing Treatment Essence 145ml,USD 48.00,USD 36.00
 NEOGEN Dermalogy Real Ferment Micro Toner 150ml,USD 22.00,USD 18.70
 Papa Recipe  Tea Tree Control Skin 200ml,USD 21.00,USD 17.85
 Papa Recipe Eggplant Clearing Peeling Pad Toner Refill 35pads,USD 18.00,USD 15.30
 Papa Recipe Eggplant Clearing Peeling Pad Toner 70pads,USD 28.00,USD 23.80
 JUICE TO CLEANSE Vinegar Kombucha Essence 150ml,USD 39.00,USD 33.15
